mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
-0.018,0.071,-0.146,0.132,0.001,0.001,2858.0,1187.0,2869.0,1517.0,1.0,53,Across Data,True
0.118,0.063,-0.002,0.242,0.001,0.001,2588.0,2110.0,2586.0,1586.0,1.0,54,Across Data,True
0.013,0.067,-0.124,0.138,0.001,0.001,2353.0,1040.0,2374.0,1656.0,1.0,55,Across Data,True
0.014,0.069,-0.123,0.146,0.001,0.001,2485.0,1081.0,2470.0,1365.0,1.0,56,Across Data,True
-0.039,0.067,-0.161,0.098,0.001,0.001,2267.0,1609.0,2290.0,1480.0,1.0,57,Across Data,True
0.056,0.069,-0.08,0.186,0.001,0.001,2191.0,1676.0,2200.0,1591.0,1.0,58,Across Data,True
-0.018,0.065,-0.143,0.11,0.001,0.001,2153.0,1477.0,2146.0,1617.0,1.0,59,Across Data,True
-0.079,0.069,-0.207,0.059,0.001,0.001,2228.0,1632.0,2226.0,1589.0,1.0,60,Across Data,True
-0.088,0.078,-0.234,0.07,0.002,0.001,2213.0,1778.0,2211.0,1737.0,1.0,61,Across Data,True
0.079,0.069,-0.06,0.207,0.001,0.001,2211.0,1745.0,2199.0,1457.0,1.0,62,Across Data,True
0.132,0.066,0.007,0.261,0.001,0.001,2520.0,2270.0,2526.0,1584.0,1.0,63,Across Data,False
0.171,0.069,0.028,0.297,0.001,0.001,2349.0,2319.0,2355.0,1649.0,1.0,64,Across Data,False
0.093,0.064,-0.026,0.22,0.001,0.001,2516.0,2300.0,2516.0,1753.0,1.0,65,Across Data,True
0.03,0.07,-0.106,0.164,0.001,0.001,2380.0,1508.0,2381.0,1806.0,1.0,66,Across Data,True
-0.056,0.075,-0.204,0.085,0.002,0.001,2489.0,1777.0,2489.0,1760.0,1.0,67,Across Data,True
-0.032,0.065,-0.152,0.099,0.001,0.001,2085.0,1571.0,2082.0,1730.0,1.0,68,Across Data,True
0.016,0.065,-0.103,0.15,0.001,0.001,2833.0,1159.0,2833.0,1693.0,1.0,69,Across Data,True
0.058,0.061,-0.057,0.179,0.001,0.001,2859.0,2020.0,2843.0,1566.0,1.0,70,Across Data,True
0.067,0.078,-0.08,0.223,0.002,0.001,2549.0,1743.0,2546.0,1611.0,1.0,71,Across Data,True
0.008,0.061,-0.113,0.126,0.001,0.001,2621.0,1241.0,2630.0,1719.0,1.0,72,Across Data,True
-0.065,0.073,-0.203,0.081,0.001,0.001,2464.0,1700.0,2473.0,1766.0,1.0,73,Across Data,True
-0.085,0.074,-0.225,0.063,0.002,0.001,2050.0,1863.0,2052.0,1685.0,1.0,74,Across Data,True
0.134,0.068,0.004,0.267,0.001,0.001,2514.0,1946.0,2543.0,1462.0,1.0,75,Across Data,False
0.051,0.068,-0.088,0.176,0.001,0.001,2833.0,1843.0,2820.0,1736.0,1.0,76,Across Data,True
-0.045,0.065,-0.178,0.071,0.001,0.001,2465.0,1482.0,2505.0,1712.0,1.0,77,Across Data,True
0.071,0.069,-0.06,0.209,0.001,0.001,2461.0,1952.0,2471.0,1366.0,1.0,78,Across Data,True
